,uic,code_postal,total_voyageurs_2016,totalvoyageurs2017,total_voyageurs_2018,total_voyageurs_2019,total_voyageurs_2020,total_voyageurs_2021
1303,87345587,59217,3,8,1,544,248,271
1304,87582841,33490,5406,5031,6238,8034,5015,5966
1305,87765503,84300,181721,193612,172495,199358,124208,178501
1306,87611079,31220,163036,171050,132125,152020,123606,161091
1307,87785006,66290,51893,55700,49136,53142,34933,51686
1308,87543033,45520,29410,31548,36191,42501,36970,50076
1309,87382655,95800,6743592,6809697,6755489,6739264,3298015,4571827
1310,87487280,79140,322,315,483,535,465,763
1311,87723452,38110,29977,26634,24194,33073,24956,34699
1312,87747212,38690,50770,53309,51640,53351,44628,62965
1313,87174003,51000,796200,825899,717835,801402,468771,600736
1314,87734731,43800,1671,1245,1606,1866,969,2273
1315,87545152,91730,210255,201279,188475,177504,89603,141799
1316,87775221,30530,5442,5158,4313,6555,4899,5833
1317,87571463,37310,14040,14050,10751,8861,2154,1974
1318,87276030,95230,2155045,2072979,2066509,2096797,943277,1828450
1319,87393058,75015,10321323,9575471,8715423,7947231,1472021,2516159
1320,87352047,39300,5910,4248,1571,2545,1507,2650
1321,87683615,89290,3195,3169,2172,3062,1684,1473
1322,87696302,58240,7642,7940,6355,7703,11116,10215
1323,87276162,95430,53547,54127,55078,55733,24510,35917
1324,87682419,77590,48843,50979,51957,53428,24561,58961
1325,87592105,87460,2433,2274,2376,3889,2428,2987
1326,87696856,89660,3124,3511,3339,4959,3101,4143
1327,87575142,86100,506257,519242,453838,491606,337286,444099
1328,87393207,92370,1123009,1067926,1000355,932646,504285,690862
1329,87721415,69380,15361,17384,13054,17133,12148,16123
1330,87746701,74190,23305,22641,21249,20478,15047,17314
1331,87694398,71150,5515,6454,8213,10672,11925,9269
1332,87484246,49120,165826,171319,145513,156909,90698,116463
1333,87546317,92160,380440,391171,394028,400187,187523,218101
1334,87444877,50100,553961,574314,516083,576122,318696,418713
1335,87721761,69380,27764,20849,19730,19161,10315,13961
1336,87471458,35250,35341,43305,45466,55765,49121,45317
1337,87574848,41400,8050,7711,7176,5992,2361,5188
1338,87672139,64800,31169,31709,23642,33712,26993,39721
1339,87473579,22390,3547,2851,1681,637,318,505
1340,87402297,68000,2119,3442,4571,4190,2422,3326
1341,87381087,92700,5993177,6159813,6305152,6156786,2242945,5496540
1342,87478057,35270,262920,267969,266528,297540,216965,274818
1343,87175257,55200,160004,176049,171608,182731,118638,155389
1344,87394288,61110,16329,13533,12395,15552,15963,21903
1345,87396218,72240,63380,65237,68836,64332,33225,39419
1346,87345116,62112,30967,31272,29762,29767,18911,22452
1347,87313056,80800,351568,350076,347950,362926,273972,309580
1348,87144196,88430,3239,2809,3373,973,260,1361
1349,87272286,2600,102,7,None,None,3,2
1350,87613802,81170,8567,9472,7395,9138,6466,9103
1351,87381863,95240,3843422,3830848,3750496,3683266,1878474,3317416
1352,87478180,22130,1856,2153,1464,2584,1489,1875
1353,87696146,58200,176942,179187,158219,162150,116309,151936
1354,87394494,28290,5170,4140,4586,4511,3804,5631
1355,87584425,24150,784,1010,151,122,24,6
1356,87276006,60100,4975896,5179573,4767367,5096215,3384293,4244071
1357,87723502,69140,6194,7130,6463,9378,5478,18486
1358,87281055,59170,1245,1669,1269,1029,731,848
1359,87753491,13500,4388,5115,3693,3310,1310,3332
1360,87214213,67650,37955,33397,29842,39069,29978,32630
1361,87575126,86220,13323,11270,12949,20056,18885,22872
1362,87182253,68210,90147,100724,98973,109780,73044,85930
1363,87315044,80800,28036,28859,26769,31699,27157,28044
1364,87721449,69570,45995,42798,39246,38983,29694,32148
1365,87343459,59220,27110,31612,32400,36925,21192,18677
1366,87713008,21000,144619,146606,133230,127926,103723,96032
1367,87718213,39210,41663,41499,34199,31832,35660,32655
1368,87396200,72240,13321,13090,13210,11171,4380,5640
1369,87764290,26290,19937,23808,20780,27825,16156,19638
1370,87476770,44530,3111,3504,5658,7414,3737,4871
1371,87393488,28100,1660359,1633846,1471100,1606493,919445,1102221
1372,87641449,63830,756,590,347,606,539,708
1373,87710731,25480,6236,6386,5684,6069,3854,5038
1374,87444547,61150,825,641,202,528,285,178
1375,87597153,36270,5731,6297,4776,4960,1996,4941
1376,87276022,95880,7684943,7760343,7711048,7568159,3316445,6111149
1377,87276147,95310,70353,74693,87088,82821,33122,64775
1378,87386763,78680,1293560,1205405,1107734,1023974,430031,379728
1379,87345496,59161,263,161,134,32,143,531
1380,87722579,38200,77341,82698,71330,90877,62138,85549
1381,87413328,76430,55746,53959,51343,63166,42897,49644
1382,87694141,71190,71592,72528,67299,76539,76286,91060
1383,87745679,74500,173811,184932,153441,171310,116019,167516
1384,87681361,91000,1020954,996434,952220,914295,416528,587153
1385,87592121,87120,38791,39685,34357,44042,34711,41359
1386,87193524,57450,20970,21467,22125,19952,18309,21785
1387,87613091,46100,160735,167319,137170,99922,90222,118881
1388,87726729,42700,215058,288912,213812,252108,133279,176539
1389,87171330,51170,195869,205140,184856,188429,168135,193288
1390,87448001,61100,125648,126503,118812,126812,77154,99533
1391,87721563,69210,93970,115642,121917,135482,87204,105568
1392,87611616,9000,221001,227901,181705,215707,118940,194264
1393,87141051,54840,2641,2502,2500,2864,2672,2344
1394,87342204,62232,2086,1065,1099,1632,1055,1275
1395,87295048,59610,186154,188906,175997,187071,116402,128968
1396,87113894,93270,1168850,1192432,1194722,1191070,1905264,1546264
1397,87757500,83600,138804,197430,188070,181707,103420,149002
1398,87286641,59273,84236,95226,85673,92078,53815,59194
1399,87592360,87250,1042,410,330,373,584,973
1400,87473876,22860,159,165,695,625,208,254
1401,87172098,8170,97296,90982,74360,69508,53838,62546
1402,87765446,84470,8920,9396,8514,9321,4237,7649
1403,87113514,93220,5196181,5225983,5155124,5094411,2469447,3268203
1404,87191742,57175,6408,3584,2456,3235,1646,2916
1405,87751495,4000,15039,14709,12814,11213,3886,3574
1406,87761544,7800,2023,1029,956,601,747,1042
1407,87381566,78440,327223,339962,346907,355165,186439,465970
1408,87775791,30510,218,434,357,801,580,1016
1409,87734046,63360,29640,28307,23326,27140,20688,24853
1410,87381244,27140,943223,928598,782890,773992,439629,694639
1411,87722405,69700,813588,883281,790672,820979,511609,644269
1412,87415349,27290,1213,772,1253,830,None,None
1413,87214270,67210,32784,33214,30005,28766,19059,22316
1414,87181131,68700,69576,74572,78592,78248,58023,60905
1415,87613059,46500,16179,14971,12205,12369,10952,15183
1416,87281246,59820,24117,27184,28939,48190,26881,30628
1417,87747006,38000,7237980,7674268,7057612,7796571,4781532,6150709
1418,87582619,33470,358233,386863,370600,423550,282948,355451
1419,87182386,68140,22226,23087,18386,19337,15724,14184
1420,87182089,68440,221431,228017,227801,245909,161472,153811
1421,87413708,76700,4973,4858,3871,3788,2055,2591
1422,87181024,68100,395,566,None,None,None,None
1423,87191239,57700,17611,9871,7423,8356,5225,6094
1424,87316398,60250,4285,4160,3433,2001,2963,4682
1425,87476259,56700,104904,108628,99670,120366,81304,107506
1426,87184507,70400,138444,142341,124752,148273,123938,134020
1427,87682435,77850,58087,58225,57252,56569,26867,65517
1428,87191163,57330,551410,532946,459855,472838,308253,366519
1429,87393462,78550,996756,959657,878035,809939,366492,577175
1430,87641217,3380,150,112,24,26,6,15
1431,87215103,54450,22803,21906,21470,21350,14494,14717
1432,87393033,75007,12138735,11941725,11541909,11104701,4118025,4931817
1433,87722249,69540,None,None,2,16431,24067,26690
1434,87342279,62330,176030,180402,166535,175520,104530,118656
1435,87545301,94200,4976350,5034584,4987697,4974218,2174567,2718878
1436,87594085,19250,651,971,650,960,496,960
1437,87393066,75015,3643685,3667671,3621602,3586477,1839261,2372151
1438,87700153,90100,None,None,120,3429,4860,4837
1439,87381558,78820,251359,268597,281817,296880,144256,307728
1440,87182642,68820,25601,25830,24164,26336,18542,20013
1441,87481069,44610,30153,28283,24395,35569,22448,26223
1442,87487843,49800,24580,23632,24016,27951,16229,14275
